Id,prefix,is_succession,pre_question,question,choices,distributions,year,topic,question_type,question_class
15,これから質問することは、あなた（お宅）の現在の生活についての質問です。,NO,,"Ｑ７  あなたは、現在、どのようなことをして、自分の自由になる時間を過ごしていますか。この中からいくつでもあげてください。
（映画や音楽鑑賞は、映画館やコンサートホールなど自ら会場に赴くものは「（ア）趣味・娯楽」とし、それ以外は「（カ）テレビやＤＶＤ、ＣＤなどの視聴」とする。読書は、その目的によって、「（ア）趣味・娯楽」、「（イ）教養・自己啓発」のいずれか又は両方とする。）","['趣味・娯楽（趣味活動、鑑賞、コンサート、スポーツ観戦など）', '教養・自己啓発（学習、習い事など）', 'スポーツ（体操、運動、各種スポーツなど自分で行うもの）', 'ショッピング', '旅行', 'テレビやＤＶＤ、ＣＤなどの視聴\u3000', 'インターネットやソーシャルメディアの利用（メールや動画視聴を含む）', '家族との団らん', '友人や恋人との交際', '社会参加（ＰＴＡ、地域行事、ボランティア活動など）', '睡眠、休養', 'その他', 'わからない']","['50.8', '13.9', '23.0', '26.4', '21.8', '41.9', '22.1', '37.2', '20.3', '7.2', '37.9', '2.2', '0.7']",r01,国民生活に関する世論調査,MA,経験
16,これから質問することは、あなた（お宅）の現在の生活についての質問です。,NO,,"Ｑ８  あなたは、自由になる時間が増えるとしたら、どのようなことをしたいですか。この中からいくつでもあげてください。
（映画や音楽鑑賞は、映画館やコンサートホールなど自ら会場に赴くものは「（ア）趣味・娯楽」とし、それ以外は「（カ）テレビやＤＶＤ、ＣＤなどの視聴」とする。読書は、その目的によって、「（ア）趣味・娯楽」、「（イ）教養・自己啓発」のいずれか又は両方とする。）","['趣味・娯楽（趣味活動、鑑賞、コンサート、スポーツ観戦など）', '教養・自己啓発（学習、習い事など）', 'スポーツ（体操、運動、各種スポーツなど自分で行うもの）', 'ショッピング', '旅行', 'テレビやＤＶＤ、ＣＤなどの視聴\u3000', 'インターネットやソーシャルメディアの利用（メールや動画視聴を含む）', '家族との団らん', '友人や恋人との交際', '社会参加（ＰＴＡ、地域行事、ボランティア活動など）', '睡眠、休養', 'その他', 'わからない']","['33.8', '16.1', '17.2', '10.4', '47.7', '10.3', '4.6', '13.9', '8.5', '7.0', '18.1', '3.4', '5.3']",r01,国民生活に関する世論調査,MA,意見
17,これから質問することは、あなた（お宅）の現在の生活についての質問です。,NO,,Ｑ９  お宅の生活の程度は、世間一般からみて、どうですか。この中から１つお答えください。,"['上', '中の上', '中の中', '中の下', '下', 'わからない']","['1.3', '12.8', '57.7', '22.3', '4.2', '1.7']",r01,国民生活に関する世論調査,SA,意見
18,次の質問からは、あなた（お宅）の今後の生活についての質問です。,NO,,Ｑ１０  お宅の生活は、これから先、どうなっていくと思いますか。この中から１つお答えください。,"['良くなっていく', '同じようなもの', '悪くなっていく', 'わからない']","['9.0', '62.3', '26.9', '1.8']",r01,国民生活に関する世論調査,SA,意見
19,次の質問からは、あなた（お宅）の今後の生活についての質問です。,NO,,Ｑ１１  あなたは、今後の生活において、特にどのような面に力を入れたいと思いますか。この中からいくつでもあげてください。,"['食生活', '衣生活', '自動車、電気製品、家具などの耐久消費財', '住生活', 'レジャー・余暇生活', '自己啓発・能力向上', '所得・収入', '資産・貯蓄', '健康', 'その他', 'ない', 'わからない']","['24.6', '5.4', '7.4', '18.1', '28.0', '16.6', '27.1', '30.9', '66.5', '0.7', '3.9', '0.5']",r01,国民生活に関する世論調査,MA,意見
20,次の質問からは、あなた（お宅）の今後の生活についての質問です。,NO,,Ｑ１２  今後の生活において、物の豊かさか心の豊かさかに関して、次のような２つの考え方のうち、あなたの考え方に近いのはどちらでしょうか。,"['物質的にある程度豊かになったので、これからは心の豊かさやゆとりのある生活をすることに重きをおきたい', 'まだまだ物質的な面で生活を豊かにすることに重きをおきたい', 'どちらともいえない', 'わからない']","['62.0', '29.6', '7.2', '1.1']",r01,国民生活に関する世論調査,SA,意見
21,次の質問からは、あなた（お宅）の今後の生活についての質問です。,NO,,Ｑ１３  あなたは、今後の生活において、貯蓄や投資など将来に備えることに力を入れたいと思いますか。それとも毎日の生活を充実させて楽しむことに力を入れたいと思いますか。,"['貯蓄や投資など将来に備える', '毎日の生活を充実させて楽しむ', 'どちらともいえない', 'わからない']","['32.9', '59.2', '7.2', '0.7']",r01,国民生活に関する世論調査,SA,意見
22,あなた自身の生き方、考え方についての質問です。,NO,,Ｑ１４  あなたにとって家庭はどのような意味をもっていますか。この中からいくつでもあげてください。,"['家族の団らんの場', '子どもを生み、育てる場', '子どもをしつける場', '親の世話をする場', '夫婦の愛情をはぐくむ場', '休息・やすらぎの場', '親子が共に成長する場', '家族の絆（きずな）を強める場', 'その他', 'わからない']","['64.2', '27.1', '15.1', '15.3', '28.2', '63.8', '38.4', '55.3', '0.3', '1.9']",r01,国民生活に関する世論調査,MA,意見
23,あなた自身の生き方、考え方についての質問です。,NO,,Ｑ１５  あなたが働く目的は何ですか。あなたの考え方に近いものをこの中から１つお答えください。,"['お金を得るために働く', '社会の一員として、務めを果たすために働く', '自分の才能や能力を発揮するために働く', '生きがいをみつけるために働く', 'わからない']","['56.4', '14.5', '7.9', '17.0', '4.2']",r01,国民生活に関する世論調査,SA,意見
24,あなた自身の生き方、考え方についての質問です。,NO,,Ｑ１６  世の中には、いろいろな仕事がありますが、あなたにとってどのような仕事が理想的だと思いますか。この中からいくつでもあげてください。,"['収入が安定している仕事', '失業の心配がない仕事', '自分の専門知識や能力がいかせる仕事', '世の中のためになる仕事', '高い収入が得られる仕事', '自分にとって楽しい仕事', '健康を損なう心配がない仕事', '私生活とバランスがとれる仕事', 'その他', 'わからない']","['60.5', '23.3', '37.8', '28.4', '18.6', '57.6', '32.8', '44.5', '0.2', '2.6']",r01,国民生活に関する世論調査,MA,意見
25,あなた自身の生き方、考え方についての質問です。,NO,,Ｑ１７  あなたは、収入と自由時間について、自由時間をもっと増やしたいと思いますか、それとも、収入をもっと増やしたいと思いますか。,"['自由時間をもっと増やしたい', '収入をもっと増やしたい', 'どちらともいえない', 'わからない']","['34.7', '46.7', '17.6', '1.1']",r01,国民生活に関する世論調査,SA,意見
26,政府に対する要望についての質問です。,NO,,Ｑ１８  あなたは、今後、政府はどのようなことに力を入れるべきだと思いますか。この中からいくつでもあげてください。,"['外交・国際協力', '防衛・安全保障', '行政改革', '地方分権の推進', '財政健全化の推進', '物価対策', '景気対策', '新技術の活用促進・新規産業の育成', '雇用・労働問題への対応', '医療・年金等の社会保障の整備', '教育の振興・青少年の育成', '文化・スポーツの振興', '科学技術の振興', '自然環境の保護・地球環境保全・公害対策', '住宅・公共施設・公共交通機関の整備', '税制改革', '消費者問題への対応', '防災', '治安', '自殺対策', '交通安全対策', '少子化対策', '高齢社会対策', '男女共同参画社会の推進', '中小企業対策', '農林水産業対策', '地域の活性化', '市民活動の促進', '資源・エネルギー対策', '東日本大震災からの復興', '東京電力福島第一原子力発電所事故への対応', 'その他', 'ない、わからない']","['25.9', '29.5', '17.7', '11.5', '22.2', '34.6', '52.5', '12.1', '37.1', '66.7', '26.8', '10.1', '11.2', '27.6', '20.0', '32.2', '16.1', '29.4', '26.7', '11.1', '22.3', '36.1', '50.7', '10.2', '13.5', '10.6', '19.2', '8.0', '23.2', '21.0', '19.8', '1.3', '3.3']",r01,国民生活に関する世論調査,MA,意見
27,"政府に対する要望についての質問です。
１　国や社会との関わりについて",NO,,Ｑ１  「国を愛する」という気持ちについて伺います。あなたは、他の人と比べて、「国を愛する」という気持ちは強い方だと思いますか。それとも、弱い方だと思いますか。この中から１つだけお答えください。,"['非常に強い', 'どちらかといえば強い', 'どちらともいえない（わからない）', 'どちらかといえば弱い', '非常に弱い（全くない）']","['14.1', '37.8', '39.7', '6.3', '2.2']",r01,社会意識に関する世論調査,SA,経験
28,"政府に対する要望についての質問です。
１　国や社会との関わりについて",NO,,Ｑ２  あなたは、今後、国民の間に「国を愛する」という気持ちをもっと育てる必要があると思いますか。それとも、そうは思いませんか。,"['そう思う', 'そうは思わない', 'わからない']","['69.4', '15.7', '14.9']",r01,社会意識に関する世論調査,SA,意見
29,"政府に対する要望についての質問です。
１　国や社会との関わりについて",NO,,Ｑ３  国民は、「国や社会のことにもっと目を向けるべきだ」という意見と、「個人生活の充実をもっと重視すべきだ」という意見がありますが、あなたのお考えは、このうちどちらの意見に近いですか。,"['国や社会のことにもっと目を向けるべきだ', '個人生活の充実をもっと重視すべきだ', '一概にいえない', 'わからない']","['44.8', '41.1', '12.4', '1.6']",r01,社会意識に関する世論調査,SA,意見
30,"政府に対する要望についての質問です。
１　国や社会との関わりについて",NO,,Ｑ４  あなたは、日頃、社会の一員として、何か社会のために役立ちたいと思っていますか。それとも、あまりそのようなことは考えていませんか。,"['思っている', 'あまり考えていない', 'わからない']","['63.4', '33.6', '3.0']",r01,社会意識に関する世論調査,SA,意見
31,"政府に対する要望についての質問です。
１　国や社会との関わりについて",YES,30,"（Ｑ４で「思っている」と答えた方に）
Ｑ４ＳＱ  何か社会のために役立ちたいと思っているのはどのようなことですか。この中からいくつでもあげてください。","['青少年健全育成に関する活動（ボーイスカウト・ガールスカウト活動、子ども会など）', '体育・スポーツ・文化に関する活動（スポーツ・レクリエーション指導、祭り、学校でのクラブ活動における指導など）', '自主防災活動や災害援助活動', '公共施設での活動（公民館における託児、博物館の展示説明員など）', '人々の学習活動に関する指導、助言、運営協力などの活動（料理、英語、書道など）', '国際交流（協力）に関する活動（通訳、難民援助、技術援助、留学生援助など）', '社会福祉に関する活動（高齢者・障害者・子どもに対する身の回りの世話、介護、食事の提供、保育など）', '保健・医療・衛生に関する活動（病院ボランティアなど）', '自然・環境保護に関する活動（環境美化、リサイクル活動、牛乳パックの回収など）', '交通安全に関する活動（子どもの登下校時の安全監視など）', '募金活動、チャリティーバザー', '町内会などの地域活動（お祝い事や不幸などの手伝い、町内会や自治会などの役員、防犯や防火活動など）', '家事や子どもの養育を通して', '自分の職業を通して', 'その他', 'わからない']","['7.0', '19.9', '26.3', '11.3', '13.9', '11.1', '36.5', '16.5', '31.8', '17.0', '15.6', '29.1', '20.6', '26.1', '1.7', '2.2']",r01,社会意識に関する世論調査,MA,意見
32,"政府に対する要望についての質問です。
１　国や社会との関わりについて",NO,,"（全員の方に）
Ｑ５  あなたは、今後、日本人は、個人の利益よりも国民全体の利益を大切にすべきだと思いますか。それとも、国民全体の利益よりも個人個人の利益を大切にすべきだと思いますか。","['個人の利益よりも国民全体の利益を大切にすべきだ', '国民全体の利益よりも個人個人の利益を大切にすべきだ', '一概にいえない', 'わからない']","['45.3', '35.2', '17.6', '1.8']",r01,社会意識に関する世論調査,SA,意見
33,"政府に対する要望についての質問です。
１　国や社会との関わりについて",NO,,Ｑ６  あなたは、地域での付き合いをどの程度していますか。この中から１つだけお答えください。,"['よく付き合っている', 'ある程度付き合っている', 'あまり付き合っていない', '全く付き合っていない', 'わからない']","['16.4', '49.0', '27.4', '6.8', '0.3']",r01,社会意識に関する世論調査,SA,経験
34,"政府に対する要望についての質問です。
１　国や社会との関わりについて",NO,,Ｑ７  地域での付き合いは、どの程度が望ましいと思いますか。この中から１つだけお答えください。,"['地域の行事や会合に参加したり、困ったときに助け合う', '地域の行事や会合に参加する程度の付き合い', '世間話をする程度の付き合い', '挨拶をする程度の付き合い', '地域での付き合いは必要ない', 'その他', 'わからない']","['35.9', '29.4', '19.4', '14.1', '0.5', '0.1', '0.6']",r01,社会意識に関する世論調査,SA,意見
35,"政府に対する要望についての質問です。
２　社会の現状に対する認識について",NO,,Ｑ８  あなたは、現在の世相をひとことで言えば、明るいイメージとしては、どのような表現があてはまると思いますか。この中からいくつでもあげてください。,"['平和である', 'ゆとりがある', '安定している', '責任感が重んじられている', '連帯感がある', 'おもいやりがある', '明るい', '活気がある', 'その他', '特にない', 'わからない']","['60.4', '9.8', '28.1', '9.4', '6.4', '18.0', '11.1', '7.0', '0.1', '11.8', '1.5']",r01,社会意識に関する世論調査,MA,意見
36,"政府に対する要望についての質問です。
２　社会の現状に対する認識について",NO,,Ｑ９  あなたは、現在の世相をひとことで言えば、暗いイメージとしては、どのような表現があてはまると思いますか。この中からいくつでもあげてください。,"['不安なこと、いらいらすることが多い', 'ゆとりがない', 'うわついていて軽薄である', '無責任の風潮がつよい', '連帯感が乏しい', '自分本位である', '暗い', '活気がない', 'その他', '特にない', 'わからない']","['23.9', '34.0', '12.8', '42.1', '26.9', '38.0', '7.8', '17.4', '0.5', '5.0', '1.3']",r01,社会意識に関する世論調査,MA,意見
37,"政府に対する要望についての質問です。
２　社会の現状に対する認識について",NO,,Ｑ１０  あなたは、日本の国や国民について、誇りに思うことはどんなことですか。この中からいくつでもあげてください。,"['長い歴史と伝統', 'すぐれた文化や芸術', '美しい自然', '国民の人情味や義理がたさ', '国民の勤勉さ、才能', '高い教育水準', '高い科学技術の水準', '経済的繁栄', '国民としてのまとまり', '社会の安定', '治安のよさ', '自由で平和な社会', 'その他', 'ない、わからない']","['48.9', '47.6', '52.3', '32.0', '37.8', '17.2', '22.3', '10.1', '9.5', '17.7', '56.4', '25.9', '0.1', '2.7']",r01,社会意識に関する世論調査,MA,意見
38,"政府に対する要望についての質問です。
２　社会の現状に対する認識について",NO,,Ｑ１１  あなたは、現在の社会において満足している点は何ですか。この中からいくつでもあげてください。,"['良質な生活環境が整っている', '働きやすい環境が整っている', '経済的なゆとりと見通しが持てる', 'チャンスを見つけやすい', '人と人とが認め合い交流しやすい', '向上心・向学心を伸ばしやすい', '心と身体の健康が保たれる', '若者が社会での自立を目指しやすい', '家庭が子育てしやすい', '女性が社会での活躍を志向しやすい', '高齢者が社会と関わりやすい', 'その他', '特にない', 'わからない']","['42.0', '16.4', '7.0', '8.6', '16.2', '15.5', '26.9', '5.2', '10.6', '12.4', '14.1', '0.2', '19.2', '2.2']",r01,社会意識に関する世論調査,MA,意見
39,"政府に対する要望についての質問です。
２　社会の現状に対する認識について",NO,,Ｑ１２  あなたは、現在の社会において満足していない点は何ですか。この中からいくつでもあげてください。,"['良質な生活環境が整っていない', '働きやすい環境が整っていない', '経済的なゆとりと見通しが持てない', 'チャンスを見つけにくい', '人と人とが認め合い交流しにくい', '向上心・向学心を伸ばしにくい', '心と身体の健康が保たれない', '若者が社会での自立を目指しにくい', '家庭が子育てしにくい', '女性が社会での活躍を志向しにくい', '高齢者が社会と関わりにくい', 'その他', '特にない', 'わからない']","['9.2', '22.5', '43.9', '17.0', '15.7', '10.3', '11.7', '31.5', '27.3', '25.5', '24.8', '0.5', '9.5', '2.2']",r01,社会意識に関する世論調査,MA,意見
40,"政府に対する要望についての質問です。
２　社会の現状に対する認識について",NO,,Ｑ１３  あなたは、現在の社会に全体として満足していますか。それとも、満足していませんか。この中から１つだけお答えください。,"['満足している', 'やや満足している', 'あまり満足していない', '満足していない', 'わからない']","['7.4', '54.8', '30.5', '6.4', '0.8']",r01,社会意識に関する世論調査,SA,意見
41,"政府に対する要望についての質問です。
３　国の政策に対する評価について",NO,,Ｑ１４  あなたは、全般的にみて、国の政策に国民の考えや意見がどの程度反映されていると思いますか。この中から１つだけお答えください。,"['かなり反映されている', 'ある程度反映されている', 'あまり反映されていない', 'ほとんど反映されていない', 'わからない']","['1.2', '27.9', '52.1', '15.0', '3.8']",r01,社会意識に関する世論調査,SA,意見
42,"政府に対する要望についての質問です。
３　国の政策に対する評価について",YES,41,"（Ｑ１４で「（イ）ある程度反映されている」、「（ウ）あまり反映されていない」、「（エ）ほとんど反映されていない」と答えた方に）
Ｑ１４ＳＱ  それでは、どうすればよりよく反映されるようになると思いますか。この中から１つだけお答えください。","['政治家が国民の声をよく聞く', '国民が国の政策に関心を持つ', 'マスコミが国民の意見をよく伝える', '国民が選挙のときに自覚して投票する', '政府が世論をよく聞く', '国民が参加できる場をひろげる', 'その他', 'わからない']","['24.9', '22.0', '5.4', '16.3', '14.3', '11.9', '0.6', '4.5']",r01,社会意識に関する世論調査,SA,意見
43,"政府に対する要望についての質問です。
３　国の政策に対する評価について",NO,,"（全員の方に）
Ｑ１５  あなたは、現在の日本の状況について、良い方向に向かっていると思われるのは、どのような分野についてでしょうか。この中からいくつでもあげてください。","['外交', '防衛', '国の財政', '物価', '景気', '経済力', '雇用・労働条件', '医療・福祉', '教育', '文化', '科学技術', '資源・エネルギー', '食糧', '自然環境', '生活環境', '防災', '治安', '土地・住宅', '通信・運輸', '交通秩序', '国民性', '社会風潮', '地域格差', '国際化', 'その他', 'ない、わからない']","['11.3', '7.2', '1.4', '2.6', '4.2', '5.3', '11.0', '30.3', '17.3', '13.2', '20.5', '6.0', '9.2', '6.7', '7.9', '19.7', '21.0', '3.1', '14.1', '12.5', '6.2', '2.2', '3.6', '15.0', '0.1', '16.3']",r01,社会意識に関する世論調査,MA,意見
44,"政府に対する要望についての質問です。
３　国の政策に対する評価について",NO,,Ｑ１６  あなたは、現在の日本の状況について、悪い方向に向かっていると思われるのは、どのような分野についてでしょうか。この中からいくつでもあげてください。,"['外交', '防衛', '国の財政', '物価', '景気', '経済力', '雇用・労働条件', '医療・福祉', '教育', '文化', '科学技術', '資源・エネルギー', '食糧', '自然環境', '生活環境', '防災', '治安', '土地・住宅', '通信・運輸', '交通秩序', '国民性', '社会風潮', '地域格差', '国際化', 'その他', 'ない、わからない']","['24.5', '22.7', '39.4', '24.9', '31.5', '21.6', '20.8', '13.4', '13.9', '2.4', '3.9', '20.0', '10.1', '21.5', '7.6', '8.1', '14.7', '5.3', '2.4', '8.1', '8.1', '17.3', '26.3', '6.0', '0.3', '7.1']",r01,社会意識に関する世論調査,MA,意見
45,医療のかかり方についておうかがいします,NO,,問１．  あなたには、「かかりつけ医（例えば、健康に関することを何でも相談でき、必要な時は専門の医療機関を紹介してくれるような身近にいて頼りになる医師）」はいますか。,"['いる', 'いない', 'わからない', '無回答']","['52.7', '40.7', '6.0', '0.6']",r01,医療のかかり方・女性の健康に関する世論調査,SA,経験
46,医療のかかり方についておうかがいします,YES,45,"問１で「２．いない」と答えた方への質問
問２．  「かかりつけ医」がいない理由は何ですか。","['かかりつけ医を選ぶ際の必要な情報が不足しているから', 'かかりつけ医に適していると思う医師がいないから', '大きな（複数の診療科があり、病床数も多い）医療機関に行けばよいから', '市販の医薬品などで自己管理すればよいから', 'かかりつけ医がいても、医療費が安くなるとは思わないから', 'かかりつけ医の必要性について考えたことがないから', 'その他', '無回答']","['16.3', '14.6', '14.9', '6.4', '1.9', '27.6', '15.0', '3.2']",r01,医療のかかり方・女性の健康に関する世論調査,SA,経験
47,医療のかかり方についておうかがいします,NO,,"ここからは全員の方がお答えください
問３．  あなたが「かかりつけ医」を選ぶ際に重視していることは何ですか。かかりつけ医がいない人は、かかりつけ医を見つける場合のことをお考えください。","['普段悩まされることが多い病気（持病など）の治療に取り組んできた医師', '日常生活の健康も管理してくれる医師', 'かかりつけ医が治療できない病気が見つかった場合、専門の医療機関などを紹介してくれる医師', '話を十分に聞いてくれる医師', '病状、治療内容など、分かりやすく説明をしてくれる医師', '休日・夜間でも相談に応じてくれる医師', '地域の活動へ参加するなど住民と交流している医師', '近隣の医師', 'その他', '無回答']","['29.0', '25.2', '54.0', '47.2', '60.3', '17.3', '3.4', '40.9', '2.8', '6.4']",r01,医療のかかり方・女性の健康に関する世論調査,MA,意見
48,医療のかかり方についておうかがいします,NO,,問４．  インターネット上の都道府県ホームページの中に、「医療情報ネット」という医療機関を検索できるウェブサイトがあることを知っていますか。また利用したことはありますか。,"['知っていて、利用したことがある', '知っているが、利用したことはない', '知らないので、利用したことがない', '無回答']","['4.6', '12.1', '82.6', '0.8']",r01,医療のかかり方・女性の健康に関する世論調査,SA,経験
49,医療のかかり方についておうかがいします,YES,48,"問４で「２．知っているが、利用したことはない」と答えた方への質問
問５．  「医療情報ネット」があることを知っていて、利用しなかったのはなぜですか。","['インターネット上で検索すれば、医療機関の情報が得られると思うから', 'かかりつけ医がいるので、利用する必要がなかったから', '受診する医療機関を決めているから', '「医療情報ネット」では、十分な情報を得られないと思うから', '「医療情報ネット」は、使い方が分かりにくいから', '医療機関を受診する機会がなかったから', 'その他', '無回答']","['22.5', '44.4', '34.0', '5.3', '13.0', '19.2', '5.3', '0.9']",r01,医療のかかり方・女性の健康に関する世論調査,MA,経験
50,医療のかかり方についておうかがいします,NO,,"ここからは全員の方がお答えください
問６．  あなたは、あなたの職場が、職員が平日の日中に仕事を休んで医療機関を受診することができるよう、積極的に取り組んでいると思いますか。なお、本調査における「平日」は、土曜日を含めずにお考えください。","['取り組んでいると思う', 'どちらかといえば取り組んでいると思う', 'どちらかといえば取り組んでいると思わない', '取り組んでいると思わない', 'その他', '働いていない、または平日の日中には業務がない', '無回答']","['19.6', '24.3', '8.7', '11.3', '2.8', '30.9', '2.5']",r01,医療のかかり方・女性の健康に関する世論調査,SA,意見
